fix_identifier,state,description
AAALL,MASSACHUSETTS,42-07-12.6800N 071-08-30.3400W
AAAME,CALIFORNIA,37-46-15.2700N 122-04-58.1200W
AAARN,GEORGIA,34-16-53.3900N 085-16-05.4200W
AABEE,GEORGIA,PDK*D* /12.27 PDK*LS*025.51 34-04-05.0000N 084-12-51.7100W
AABER,FLORIDA,26-04-22.0000N 081-19-48.0000W
AABEZ,MINNESOTA,MSP*LD*121.36/10.02 44-47-17.1000N 093-00-16.9600W
AACES,OKLAHOMA,35-16-19.5100N 097-08-39.9800W
AACEZ,OFFSHORE ATLANTIC,34-33-10.0000N 073-59-48.0000W
AADCO,UTAH,DTA*C*348.00/29.00 39-47-05.3500N 112-27-42.5700W
AADEN,GEORGIA,31-32-28.0800N 082-55-42.7100W
AADIE,INDIANA,39-53-13.5300N 086-29-32.4000W
AADMS,MASSACHUSETTS,42-35-07.5300N 071-19-08.1300W
AADPO,,TUT*C* /18.00 TUT*R*292.00 14-10-07.5400S 170-58-03.1200W
AAERO,COLORADO,39-35-57.7300N 106-58-46.0100W
AAFRE,PENNSYLVANIA,40-27-00.4100N 079-55-03.9800W
AAGEE,COLORADO,40-01-37.7100N 104-46-41.7400W
AAGIN,ILLINOIS,40-34-59.2100N 088-18-50.0800W
AAHOY,OFFSHORE GULF,28-34-14.3200N 083-05-52.4600W
AAHZZ,TEXAS,29-43-51.3400N 095-55-53.9900W
AAIRE,SOUTH CAROLINA,35-08-46.5700N 081-03-44.3300W
AAJAY,KENTUCKY,38-55-56.4400N 084-32-22.6700W
AAKAY,GEORGIA,HZK*LD*274.99/19.09 33-38-03.0200N 084-47-35.8800W
AALAN,ARIZONA,BLD*C*036.95/58.00 36-35-19.3900N 113-55-06.0900W
AALEX,SOUTH CAROLINA,33-03-12.7700N 080-20-26.7700W
AALII,ARKANSAS,35-03-47.9900N 092-00-10.2200W
AALIX,WASHINGTON,48-30-15.8900N 121-45-22.8500W
AALLE,COLORADO,40-27-12.3300N 103-45-25.1900W
AAMEE,ILLINOIS,41-49-11.6200N 087-53-44.8000W
AAMMO,NORTH CAROLINA,35-06-22.7200N 079-45-33.3600W
AAMOS,FLORIDA,30-30-53.9000N 081-58-30.2000W
AAMYY,OFFSHORE PACIFIC,51-23-59.7500N 171-33-13.4200E
